,transit_timestamp,station_complex_id,borough,ridership,latitude,longitude,normalized_ridership,ridership_index
7490,07/10/2023 04:00:00 PM,359,Brooklyn,5,40.632835,-73.94764,0.18518518518518517,0.18518518518518517
7491,01/12/2024 09:00:00 AM,209,Queens,8,40.603996,-73.7554,0.0041928721174004195,0.0041928721174004195
7492,01/12/2024 10:00:00 AM,72,Brooklyn,18,40.631386,-74.00535,0.046753246753246755,0.046753246753246755
7493,01/27/2023 01:00:00 PM,359,Brooklyn,34,40.632835,-73.94764,0.2677165354330709,0.2677165354330709
7494,11/08/2023 04:00:00 AM,359,Brooklyn,7,40.632835,-73.94764,0.25925925925925924,0.25925925925925924
7495,01/12/2024 11:00:00 AM,118,Manhattan,11,40.73285,-73.98612,0.02111324376199616,0.02111324376199616
7496,03/06/2023 07:00:00 PM,359,Brooklyn,21,40.632835,-73.94764,0.6774193548387096,0.6774193548387096
7497,03/09/2023 06:00:00 PM,359,Brooklyn,71,40.632835,-73.94764,0.22468354430379747,0.22468354430379747
7498,01/12/2024 12:00:00 PM,427,Bronx,20,40.840294,-73.88005,0.028409090909090908,0.028409090909090908
7499,01/12/2024 12:00:00 PM,55,Brooklyn,22,40.57762,-73.96137,0.03125,0.03125
7500,05/21/2023 11:00:00 AM,359,Brooklyn,45,40.632835,-73.94764,1.0,1.0
7501,07/26/2023 09:00:00 PM,359,Brooklyn,11,40.632835,-73.94764,1.0,1.0
7502,02/25/2023 04:00:00 AM,359,Brooklyn,1,40.632835,-73.94764,0.16666666666666666,0.16666666666666666
7503,03/04/2023 04:00:00 AM,359,Brooklyn,3,40.632835,-73.94764,0.2,0.2
7504,05/02/2023 07:00:00 AM,359,Brooklyn,371,40.632835,-73.94764,1.0,1.0
7505,05/17/2023 02:00:00 AM,359,Brooklyn,4,40.632835,-73.94764,1.0,1.0
7506,04/30/2023 07:00:00 AM,359,Brooklyn,13,40.632835,-73.94764,0.34210526315789475,0.34210526315789475
7507,01/28/2023 06:00:00 PM,359,Brooklyn,31,40.632835,-73.94764,0.34065934065934067,0.34065934065934067
7508,06/10/2023 02:00:00 PM,359,Brooklyn,42,40.632835,-73.94764,0.16733067729083664,0.16733067729083664
7509,03/17/2023 08:00:00 AM,359,Brooklyn,65,40.632835,-73.94764,0.13157894736842105,0.13157894736842105
7510,02/11/2023 06:00:00 AM,359,Brooklyn,35,40.632835,-73.94764,1.0,1.0
7511,04/21/2023 11:00:00 AM,359,Brooklyn,22,40.632835,-73.94764,0.1004566210045662,0.1004566210045662
7512,01/20/2023 02:00:00 PM,359,Brooklyn,35,40.632835,-73.94764,0.25547445255474455,0.25547445255474455
